bracket_low,bracket_high,rate,standard_deduction
0,22000,0.1,27700
22000,89450,0.12,27700
89450,190750,0.22,27700
190750,364200,0.24,27700
364200,462500,0.32,27700
462500,693750,0.35,27700
693750,9999999,0.37,27700
