bracket_low,bracket_high,rate,standard_deduction
0,11000,0.1,13850
11000,44725,0.12,13850
44725,95375,0.22,13850
95375,182100,0.24,13850
182100,231250,0.32,13850
231250,346875,0.35,13850
346875,999999,0.37,13850
