bracket_low,bracket_high,rate,standard_deduction
0,15700,0.1,"20,800"
15700,59850,0.12,"20,800"
59850,95350,0.22,"20,800"
95350,182100,0.24,"20,800"
182100,231250,0.32,"20,800"
231250,578100,0.35,"20,800"
578100,999999,0.37,"20,800"
